Artist,Record,Format,Purchase_Date,Purchase_Price
Claude Denjean,Moog!,LP,,
Edgar Froese,Electronic Dreams,LP,,
Elektrik Cokernut,Go Moog!,LP,,
F.C. Judd,Electronics without Tears,LP,,
Holy Fuck,Deleter,LP,2020-01-18,14.99
Jan Hammer,Escape from Television,LP,,
Jean Michel Jarre,In Concert: Houston Lyon,LP,,
Jean Michel Jarre,Revolutions,LP,,
Jurgen Ecke,Sound-Synthese,LP,,
Klaus Wunderlich,Sound 2000,LP,,
Labelle,Post-Maloya,LP,,
Mark Jenkins,Analog Archives,LP,,
Mike Oldfield,Return to Ommadawn,LP,,
Mike Oldfield,Discovery,LP,,
Mike Oldfield,QE2,LP,,
Mike Oldfield,Platinum,LP,,
Mike Oldfield,Ommadawn,LP,,
Sharing Waves,Cool Maritime,LP,2020-01-18,20.99
Star Inc.,28 Synthesizer Hits,LP,,
The Moog Machine,Switched-on Rock,LP,,
Tomita,Firebird,LP,,
Tangerine Dream,Amiga,LP,,
Tangerine Dream,Logos,LP,,
Tangerine Dream,Encore,LP,,
Tangerine Dream,White Eagle,LP,,
Tangerine Dream,Thief,LP,,
Tangerine Dream,Underwater Sunlight,LP,,
Tangerine Dream,Force Majeure,LP,,
Tangerine Dream,Hyperborea,LP,,
Tangerine Dream,Rubycon,LP,,
Vangelis,Heaven and Hell,LP,2020-01-18,6.5
Various,Flatpack antenna,LP,,
